country_name,country_wiki_url,country_desc
Singapore,http://en.wikipedia.org/wiki/Singapore,
New Zealand,http://en.wikipedia.org/wiki/New_Zealand,
Belarus,http://en.wikipedia.org/wiki/Belarus,
Burundi,http://en.wikipedia.org/wiki/Burundi,
China,http://en.wikipedia.org/wiki/China,
Cuba,http://en.wikipedia.org/wiki/Cuba,
Indonesia,http://en.wikipedia.org/wiki/Indonesia,
Iran,http://en.wikipedia.org/wiki/Iran,
South Korea,http://en.wikipedia.org/wiki/South_Korea,
North Korea,http://en.wikipedia.org/wiki/North_Korea,
Laos,http://en.wikipedia.org/wiki/Laos,
Macedonia,http://en.wikipedia.org/wiki/Macedonia,
Thailand,http://en.wikipedia.org/wiki/Thailand,
Nicaragua,http://en.wikipedia.org/wiki/Nicaragua,
Nepal,http://en.wikipedia.org/wiki/Nepal,